componentId,warehouse,workstation,teamLead,process,duration,createAt,status,updatedAt,,
W-1.2,Grand Junction,,Andres,Ship,85,2025-04-07,complete,2025-04-07,,
W-1.16,Grand Junction,,Andres,Ship,35,2025-04-07,complete,2025-04-07,,
W- 1.13A,Grand Junction,,Andres,Ship,15,2025-04-07,complete,2025-04-07,,
W-1.4,Grand Junction,,Adrian,Ship,60,2025-04-09,complete,2025-04-09,,
W- 1.3,Grand Junction,,Andres,Ship,40,2025-04-09,complete,2025-04-09,,
W-1.15,Grand Junction,,Adrian,Ship,90,2025-04-09,complete,2025-04-09,,
W-1.6,Grand Junction,,Andres,Ship,50,2025-04-09,complete,2025-04-09,,
W-1.5,Grand Junction,,Andres,Ship,40,2025-04-10,complete,2025-04-10,,
W-1.19,Grand Junction,,Adrian,Ship,210,2025-04-10,complete,2025-04-10,,
W-1.20,Grand Junction,,Adrian,Ship,105,2025-04-10,complete,2025-04-10,,
W-1.10,Grand Junction,,Andres,Ship,60,2025-04-10,complete,2025-04-10,,
W-1.7,Grand Junction,,Andres,Ship,82,2025-04-11,complete,2025-04-11,,
W-1.9,Grand Junction,,Adrian,Ship,270,2025-04-11,complete,2025-04-11,,
W- 1.19A,Grand Junction,,Joel,Ship,15,2025-04-11,complete,2025-04-11,,
W-1.18,Grand Junction,,Adrian,Ship,75,2025-04-16,complete,2025-04-16,,
W.1.17,Grand Junction,,Andres,Ship,90,2025-04-16,complete,2025-04-16,,
W-1.23,Grand Junction,,Adrian,Ship,105,2025-04-16,complete,2025-04-16,,
W-1.25,Grand Junction,,Andres,Ship,105,2025-04-16,complete,2025-04-16,,
W-1.22,Grand Junction,,Adrian,Ship,105,2025-04-16,complete,2025-04-16,,
W-1.27,Grand Junction,,Andres,Ship,225,2025-04-17,complete,2025-04-17,,
W-1.21,Grand Junction,,Adrian,Ship,210,2025-04-17,complete,2025-04-17,,
W-1.8,Grand Junction,,Adrian,Ship,135,2025-04-17,complete,2025-04-17,,
W-1.26,Grand Junction,,Andres,Ship,200,2025-04-18,complete,2025-04-18,,
W-1.28,Grand Junction,,Adrian,Ship,90,2025-04-18,complete,2025-04-18,,
W-1.24,Grand Junction,,Andres,Ship,40,2025-04-18,complete,2025-04-18,,
W-1.8A,Grand Junction,,Adrian,Ship,90,2025-04-18,complete,2025-04-18,,
W-1.35,Grand Junction,,Andres,Ship,35,2025-04-23,complete,2025-04-23,,
W-1.33,Grand Junction,,Adrian,Ship,45,2025-04-23,complete,2025-04-23,,
W-1.30,Grand Junction,,Adrian,Ship,30,2025-04-23,complete,2025-04-23,,
W-1.36,Grand Junction,,Andres,Ship,50,2025-04-23,complete,2025-04-23,,
W-1.37,Grand Junction,,Andres,Ship,85,2025-04-23,complete,2025-04-23,,
W-1.34,Grand Junction,,Adrian,Ship,35,2025-04-23,complete,2025-04-23,,
W-1.31,Grand Junction,,Adrian,Ship,210,2025-04-24,complete,2025-04-24,,
W-1.38,Grand Junction,,Andres,Ship,20,2025-04-24,complete,2025-04-24,,
W-1.39,Grand Junction,,Andres,Ship,100,2025-04-24,complete,2025-04-24,,
W-1.32,Grand Junction,,Adrian,Ship,45,2025-04-24,complete,2025-04-24,,
W-1.41,Grand Junction,,Adrian,Ship,150,2025-04-24,complete,2025-04-24,,
W-1.40,Grand Junction,,Adrian,Ship,45,2025-04-24,complete,2025-04-24,,
W-1.29,Grand Junction,,Adrian,Ship,60,2025-04-25,complete,2025-04-25,,
W-1.43,Grand Junction,,Andres,Ship,80,2025-04-28,complete,2025-04-28,,
W-1.42,Grand Junction,,Andres,Ship,65,2025-04-28,complete,2025-04-28,,
W-1.45,Grand Junction,,Manuel,Ship,60,2025-04-28,complete,2025-04-28,,
W-1.59,Grand Junction,,Joel,Ship,7,2025-04-29,complete,2025-04-29,,
W-1.46,Grand Junction,,Joel,Ship,45,2025-04-29,complete,2025-04-29,,
W-1.49,Grand Junction,,Joel,Ship,10,2025-04-29,complete,2025-04-29,,
W-1.48,Grand Junction,,Manuel,Ship,10,2025-04-29,complete,2025-04-29,,
W-1.44,Grand Junction,,Andres,Ship,145,2025-04-29,complete,2025-04-29,,
W-1.60,Grand Junction,,Joel,Ship,30,2025-04-29,complete,2025-04-29,,
W-1.62,Grand Junction,,Joel,Ship,48,2025-04-29,complete,2025-04-29,,
W-1.65,Grand Junction,,Manuel,Ship,120,2025-04-29,complete,2025-04-29,,
W-1.44B,Grand Junction,,Andres,Ship,130,2025-04-29,complete,2025-04-29,,
W-1.54B,Grand Junction,,Joel,Ship,10,2025-04-29,complete,2025-04-29,,
W-1.54,Grand Junction,,Manuel,Ship,70,2025-04-29,complete,2025-04-29,,
W-1.57,Grand Junction,,Adan,Ship,30,2025-04-29,complete,2025-04-29,,
W-1.55,Grand Junction,,Joel,Ship,20,2025-04-29,complete,2025-04-29,,
W-1.53,Grand Junction,,Manuel,Ship,15,2025-04-29,complete,2025-04-29,,
W-1.66,Grand Junction,,Andres,Ship,70,2025-04-29,complete,2025-04-29,,
W-1.47,Grand Junction,,Joel,Ship,110,2025-04-29,complete,2025-04-29,,
W-1.58,Grand Junction,,Andres,Ship,37,2025-04-29,complete,2025-04-29,,
W-1.52,Grand Junction,,Joel,Ship,40,2025-04-30,complete,2025-04-30,,
W-1.50,Grand Junction,,Mike,Ship,59,2025-04-30,complete,2025-04-30,,
W-1.64,Grand Junction,,Andres,Ship,390,2025-04-30,complete,2025-04-30,,
W-1.51,Grand Junction,,Andres,Ship,111,2025-05-01,complete,2025-05-01,,
W-1.63,Grand Junction,,Andres,Ship,109,2025-05-01,complete,2025-05-01,,
W-1.76B,Grand Junction,,Andres,Ship,48,2025-05-07,complete,2025-05-07,,
W-1.74,Grand Junction,,Joel,Ship,19,2025-05-08,complete,2025-05-08,,
W-1.81,Grand Junction,,Joel,Ship,55,2025-05-08,complete,2025-05-08,,
W-1.80,Grand Junction,,Andres,Ship,75,2025-05-08,complete,2025-05-08,,
W-1.83,Grand Junction,,Andres,Ship,11,2025-05-08,complete,2025-05-08,,
W-1.84,Grand Junction,,Adan,Ship,45,2025-05-08,complete,2025-05-08,,
W-1.72,Grand Junction,,Andres,Ship,30,2025-05-08,complete,2025-05-08,,
W-1.85,Grand Junction,,Andres,Ship,30,2025-05-08,complete,2025-05-08,,
W-1.67A,Grand Junction,,Joel,Ship,101,2025-05-08,complete,2025-05-08,,
W-1.82,Grand Junction,,Joel,Ship,45,2025-05-08,complete,2025-05-08,,
W-1.86,Grand Junction,,Andres,Ship,164,2025-05-08,complete,2025-05-08,,
W-1.95,Grand Junction,,Joel,Ship,60,2025-05-09,complete,2025-05-09,,
W-1.68,Grand Junction,,Joel,Ship,150,2025-05-08,complete,2025-05-08,,
W-1.96,Grand Junction,,Joel,Ship,38,2025-05-09,complete,2025-05-09,,
W-1.87,Grand Junction,,Andres,Ship,55,2025-05-09,complete,2025-05-09,,
W-1.88,Grand Junction,,Andres,Ship,30,2025-05-09,complete,2025-05-09,,
W-1.70,Grand Junction,,Joel,Ship,130,2025-05-09,complete,2025-05-09,,
W-1.69,Grand Junction,,Joel,Ship,183,2025-05-09,complete,2025-05-09,,
W-1.75,Grand Junction,,Joel,Ship,97,2025-05-09,complete,2025-05-09,,
W-1.76,Grand Junction,,Andres,Ship,240,2025-05-09,complete,2025-05-09,,
W-1.94,Grand Junction,,Joel,Ship,55,2025-05-12,complete,2025-05-12,,
W-1.92,Grand Junction,,Joel,Ship,79,2025-05-12,complete,2025-05-12,,
W-1.90,Grand Junction,,Andres,Ship,105,2025-05-12,complete,2025-05-12,,
W-1.93,Grand Junction,,Joel,Ship,55,2025-05-12,complete,2025-05-12,,
W-1.98,Grand Junction,,Andres,Ship,15,2025-05-12,complete,2025-05-12,,
W-1.89,Grand Junction,,Joel,Ship,21,2025-05-12,complete,2025-05-12,,
W-1.97,Grand Junction,,Andres,Ship,33,2025-05-12,complete,2025-05-12,,
W-1.91,Grand Junction,,Andres,Ship,45,2025-05-12,complete,2025-05-12,,
W-1.100,Grand Junction,,Joel,Ship,135,2025-05-12,complete,2025-05-12,,
W-1.107,Grand Junction,,Andres,Ship,9,2025-05-12,complete,2025-05-12,,
W-1.103,Grand Junction,,Hayden,Ship,15,2025-05-12,complete,2025-05-12,,
W-1.106,Grand Junction,,Mike,Ship,128,2025-05-13,complete,2025-05-13,,
W-1.104,Grand Junction,,Arnold,Ship,55,2025-05-13,complete,2025-05-13,,
W-1.101,Grand Junction,,Mike,Ship,90,2025-05-13,complete,2025-05-13,,
W-1.111,Grand Junction,,Joel,Ship,129,2025-05-13,complete,2025-05-13,,
W-1.99,Grand Junction,,Mike,Ship,74,2025-05-13,complete,2025-05-13,,
W-1.112,Grand Junction,,Arnold,Ship,144,2025-05-13,complete,2025-05-13,,
W-1.110,Grand Junction,,Mike,Ship,140,2025-05-13,complete,2025-05-13,,
W-1.119,Grand Junction,,Joel,Ship,50,2025-05-13,complete,2025-05-13,,
W-1.67,Grand Junction,,Mike,Ship,70,2025-05-13,complete,2025-05-13,,
W-1.109,Grand Junction,,Mike,Ship,15,2025-05-13,complete,2025-05-13,,
W-1.117,Grand Junction,,Arnold,Ship,70,2025-05-13,complete,2025-05-13,,
W-1.118,Grand Junction,,Mike,Ship,11,2025-05-13,complete,2025-05-13,,
W-1.114,Grand Junction,,Mike,Ship,5,2025-05-13,complete,2025-05-13,,
