componentId,componentType,currentStatus,lastCompletedProcess,nextProcess,processStatus,percentComplete,totalCycleTime,completedAt,designUrl,workstation,teamLead,dateshipped,datedelivered,componentsqft,projectId
SB / LB,Beam,DELIVERED,,Ship,Complete,100,,,,,,5/5/25 00:00,5/5/25 00:00,0,TEK-015-ASPENGLENSD-2
W-0.56a,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,3/19/25 00:00,3/19/25 00:00,20,TEK-028-CHAROUHIS
F-16B,Floor Panel,DELIVERED,,Ship,Complete,100,,,,,,2/5/25 00:00,2/5/25 00:00,17,TEK-018-ASPENGLENSD-5
W-79,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,9/4/24 00:00,9/4/24 00:00,28,TEK-004-BURGHER325HLND
W-6,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,11/4/24 00:00,11/4/24 00:00,158,TEK-019-ASPENGLENSD-6
W-75,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,2/12/25 00:00,2/12/25 00:00,40,TEK-018-ASPENGLENSD-5
W-70,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,11/4/24 00:00,11/4/24 00:00,29,TEK-019-ASPENGLENSD-6
W-1.55,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,5/1/25 00:00,5/1/25 00:00,23,TEK-028-CHAROUHIS
W-6,Exterior Wall,DELIVERED,,Ship,Complete,100,,,,,,5/6/25 00:00,5/6/25 00:00,216,TEK-015-ASPENGLENSD-2
W-42A,Exterior Wall,DELIVERED,,Ship,Complete,100,,,,,,11/4/24 00:00,11/4/24 00:00,231,TEK-019-ASPENGLENSD-6
W-55,Exterior Wall,DELIVERED,,Ship,Complete,100,,,,,,2/12/25 00:00,2/12/25 00:00,180,TEK-018-ASPENGLENSD-5
W-1.6,Exterior Wall,DELIVERED,,Ship,Complete,100,,,,,,4/25/25 00:00,4/25/25 00:00,225,TEK-028-CHAROUHIS
W-37,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,2/12/25 00:00,2/12/25 00:00,13,TEK-018-ASPENGLENSD-5
F-8,Floor Panel,DELIVERED,,Ship,Complete,100,,,,,,3/28/25 00:00,3/28/25 00:00,62,TEK-028-CHAROUHIS
F-14,Floor Panel,DELIVERED,,Ship,Complete,100,,,,,,10/28/24 00:00,10/28/24 00:00,47,TEK-019-ASPENGLENSD-6
W-79A,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,9/4/24 00:00,9/4/24 00:00,16,TEK-004-BURGHER325HLND
W-1.28,Exterior Wall,DELIVERED,,Ship,Complete,100,,,,,,4/25/25 00:00,4/25/25 00:00,53,TEK-028-CHAROUHIS
W-54,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,8/28/24 00:00,8/28/24 00:00,95,TEK-004-BURGHER325HLND
F-3,Floor Panel,DELIVERED,,Ship,Complete,100,,,,,,10/31/24 00:00,10/31/24 00:00,228,TEK-019-ASPENGLENSD-6
W-8,Exterior Wall,DELIVERED,,Ship,Complete,100,,,,,,5/6/25 00:00,5/6/25 00:00,136,TEK-015-ASPENGLENSD-2
W-1.10,Exterior Wall,DELIVERED,,Ship,Complete,100,,,,,,4/25/25 00:00,4/25/25 00:00,97,TEK-028-CHAROUHIS
W-0.11,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,3/19/25 00:00,3/19/25 00:00,68,TEK-028-CHAROUHIS
W-35,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,2/12/25 00:00,2/12/25 00:00,70,TEK-018-ASPENGLENSD-5
W-1,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,5/6/25 00:00,5/6/25 00:00,162,TEK-015-ASPENGLENSD-2
W-44,Exterior Wall,DELIVERED,,Ship,Complete,100,,,,,,8/28/24 00:00,8/28/24 00:00,54,TEK-004-BURGHER325HLND
R-3,Roof Panel,DELIVERED,,Ship,Complete,100,,,,,,5/7/25 00:00,5/7/25 00:00,120,TEK-015-ASPENGLENSD-2
W-10,Exterior Wall,DELIVERED,,Ship,Complete,100,,,,,,2/12/25 00:00,2/12/25 00:00,95,TEK-018-ASPENGLENSD-5
W-0.13,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,3/19/25 00:00,3/19/25 00:00,9,TEK-028-CHAROUHIS
W-1.1,Exterior Wall,DELIVERED,,Ship,Complete,100,,,,,,4/25/25 00:00,4/25/25 00:00,94,TEK-028-CHAROUHIS
W-30,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,5/6/25 00:00,5/6/25 00:00,18,TEK-015-ASPENGLENSD-2
W-1.82,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,5/14/25 00:00,5/14/25 00:00,82,TEK-028-CHAROUHIS
R-2,Roof Panel,DELIVERED,,Ship,Complete,100,,,,,,5/7/25 00:00,5/7/25 00:00,85,TEK-015-ASPENGLENSD-2
W-72A,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,5/7/25 00:00,5/7/25 00:00,50,TEK-015-ASPENGLENSD-2
W-31A,Exterior Wall,DELIVERED,,Ship,Complete,100,,,,,,5/6/25 00:00,5/6/25 00:00,54,TEK-015-ASPENGLENSD-2
W-1.40,Exterior Wall,DELIVERED,,Ship,Complete,100,,,,,,5/1/25 00:00,5/1/25 00:00,24,TEK-028-CHAROUHIS
"W-61A,61B,61C",Exterior Wall,DELIVERED,,Ship,Complete,100,,,,,,5/7/25 00:00,5/7/25 00:00,234,TEK-015-ASPENGLENSD-2
