id,componentId,componentType,currentStatus,lastCompletedProcess,nextProcess,processStatus,percentComplete,completedAt,designUrl,workstation,teamLead,dateshipped,datedelivered,componentsqft,projectId,Level,createdAt,maxHeight,maxWidth,sequence,updatedAt,weight
0ad0e249-9714-4aba-aef3-973f64e93481,W-2.20A,Exterior Wall,Released for Manufacturing,,Cut,Pending,0,6/9/25,,,Andres,6/11/25,6/11/25,30,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
12a5622b-6f29-4587-a40a-fe76c7c37e5f,W-2.21,Interior Wall ,Released for Manufacturing,,Cut,Pending,0,6/6/25,,,Adrian,6/11/25,6/11/25,66,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
27850091-b915-4f59-8149-51b8a8e9e094,W-2.21A,Interior Wall ,Released for Manufacturing,,Cut,Pending,0,6/9/25,,,Andres,6/11/25,6/11/25,66,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
322aa9de-13ed-48cc-90a6-9d5bd49eae85,W-2.22,Exterior Wall,Released for Manufacturing,,Cut,Pending,0,6/6/25,,,Andres,6/11/25,6/11/25,117,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
df1b5aeb-ea46-430a-a1c1-318400fa75b3,W-2.23,Interior Wall ,Released for Manufacturing,,Cut,Pending,0,6/9/25,,,Andres,6/11/25,6/11/25,22,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
ad69abc2-e694-4ac1-bd51-d065e9d2a30e,W-2.24,Exterior Wall,Released for Manufacturing,,Cut,Pending,0,6/5/25,,,Andres,6/11/25,6/11/25,246,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
9dbe5690-7a15-4198-a92d-43dd0b42163f,W-2.25,Exterior Wall,Released for Manufacturing,,Cut,Pending,0,6/10/25,,,Adrian,6/11/25,6/11/25,19,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
098407ca-d84a-4db8-a461-5e39c3444c4b,W-2.26,Interior Wall ,Released for Manufacturing,,Cut,Pending,0,6/9/25,,,Adrian ,6/11/25,6/11/25,51,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
02c93e48-e06b-4dbd-858a-27b2702cb61e,W-2.27,Interior Wall ,Released for Manufacturing,,Cut,Pending,0,6/9/25,,,Andres,6/11/25,6/11/25,19,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
9533e405-c2fe-49f6-971a-9f6aafe64e4a,W-2.28,Interior Wall ,Framing Complete,Assemble,Cut,Pending,50,6/6/25,,,Andres,6/11/25,6/11/25,104,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
c097a513-ea86-429e-ac18-3103822cadc5,W-2.3,Interior Wall ,Released for Manufacturing,,Cut,Pending,0,6/9/25,,,Andres,6/11/25,6/11/25,48,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
cf29281c-4b04-4e94-a0d8-52ad33220e99,W-2.31,Exterior Wall,Released for Manufacturing,,Cut,Pending,0,6/6/25,,,Adrian ,6/11/25,6/11/25,37,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
6847a638-8e95-4ccf-b232-8e5eb663874f,W-2.32,Exterior Wall,Released for Manufacturing,,Cut,Pending,0,6/6/25,,,Andres,6/11/25,6/11/25,33,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
4f49dc93-e4a0-4553-90ee-4c06652cecd0,W-2.4,Interior Wall ,Released for Manufacturing,,Cut,Pending,0,6/9/25,,,Adrian,6/11/25,6/11/25,13,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
b94a2519-0b49-4900-9f3d-100a347aaa78,W-2.5,Interior Wall ,Released for Manufacturing,,Cut,Pending,0,6/9/25,,,Adrian,6/11/25,6/11/25,55,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
91bb7cd9-1e39-45a5-b5fe-50276f483393,W-2.7,Exterior Wall,Released for Manufacturing,,Cut,Pending,0,6/6/25,,,Mike,6/11/25,6/11/25,36,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
c68a752c-58a5-4ba2-94c4-e08a00976646,W-2.8,Exterior Wall,Released for Manufacturing,,Cut,Pending,0,6/6/25,,,Mike,6/11/25,6/11/25,29,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
e1102414-eeaf-4544-9c6c-3f20c0e59e1a,W-2.9,Exterior Wall,Released for Manufacturing,,Cut,Pending,0,6/6/25,,,Andres,6/11/25,6/11/25,206,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
a894de33-a980-4d90-ad4c-9d40ecbebca3,W-20,Interior Wall ,Delivered,Ship,,Complete,100,1/13/25,,,Joel,5/6/25,5/6/25,81,TEK-015-ASPENGLENSD-2,,22:03.7,,,,7/16/25 00:00,
76656313-6515-43d2-8730-5701c89494e4,W-20,Interior Wall ,Delivered,Ship,,Complete,100,10/21/24,,,,2/12/25,2/12/25,105,TEK-018-ASPENGLENSD-5,,22:03.7,,,,7/16/25 00:00,
d16fc76b-e2bf-4132-a5ed-29ff3b9d614f,W-20,Exterior Wall,Delivered,Ship,,Complete,100,9/13/24,,,,11/5/24,11/5/24,25,TEK-019-ASPENGLENSD-6,,22:03.7,,,,7/16/25 00:00,
a26fa311-84de-4c33-b87d-921dd2750aaa,W-21,Exterior Wall,Delivered,Ship,,Complete,100,9/10/24,,,,9/12/24,9/12/24,153,TEK-004-BURGHER325HLND,,22:03.7,,,,7/16/25 00:00,
fb54903f-013a-48c4-a9e7-a1bd33ac533d,W-21,Exterior Wall,Delivered,Ship,,Complete,100,1/27/25,,,Manuel,5/6/25,5/6/25,189,TEK-015-ASPENGLENSD-2,,22:03.7,,,,7/16/25 00:00,
9a45c37b-0285-48ba-8352-b2a34a1d709b,W-21,Exterior Wall,Delivered,Ship,,Complete,100,10/3/24,,,,11/5/24,11/5/24,105,TEK-019-ASPENGLENSD-6,,22:03.7,,,,7/16/25 00:00,
